majr,desc,cip
1615,Turk & C. Asia Lang Lit & Ling,1615
1616,American Sign Language.,1616
1699,Forgn Lang Lit & Ling Other.,1699
16AB,Linguistics,160102
16CI,Classics & Classical Language,161299
1900,Work and Family Studies.,1900
1901,Family & Cons/Hu Sci General,1901
1902,Family & Cons/Hu Sci Bus Svcs,1902
1904,Family & Cons Eco & Reltd Std.,1904
1905,Food Nutrition & Related Svcs.,1905
1906,Housing and Human Environs,1906
1907,"Hu. Devl, Fam Stds & Rel Svcs.",1907
1909,Apparel and Textiles.,1909
1999,"Family & Cons/Human Sci, Oth.",1999
19AV,Child Development,190706
2101,Tech Edu/Industri Arts Prgrms.,2101
2200,Non-Pro Gen Legal Studies (UG),2200
2201,Law,2201
2202,Legal Research & Adv Pro Stds.,2202
2203,Legal Support Services.,2203
2299,"Legal Prof and Studies, Other.",2299
2301,"English Lang & Lit, General",2301
2304,English Composition.,2304
2305,Creative Writing.,2305
2307,American Lit (US and Canadian),2307
2308,Eng Lit (Brit & Commonwealth),2308
2310,Speech and Rhetorical Studies.,2310
2311,Technical and Business Writing,2311
2313,Rhetoric & Compo/Writing Stds.,2313
2314,Literature.,2314
2399,"Eng Lang & Lit/Letters, Oth.",2399
2401,Lib Arts & Sci Gen Stds & Hum.,2401
2501,Library Science and Admin.,2501
2503,Library and Archives Assisting,2503
2599,"Library Science, Other.",2599
2601,"Biology, General.",2601
2602,"Biochem, Biophys & Molec Bio.",2602
2603,Botany/Plant Biology.,2603
2604,Cell/Cellular Bio & Anat Sci.,2604
2605,Microbiol Sci & Immunology,2605
2607,Zoology/Animal Biology.,2607
2608,Genetics,2608
2609,Physiology Pathology & Rel Sci,2609
2610,Pharmacology and Toxicology.,2610
2611,"Biomaths, Bioinfo, & Comp Bio.",2611
2612,Biotechnology.,2612
2613,Ecol Evol Systemat & Popu Bio.,2613
2614,Molecular Medicine.,2614
2615,Neurobiology and Neurosci.,2615
2699,"Biological and Biomed Sci, Oth",2699
26CU,Biotechnology,261201
2701,Mathematics.,2701
2703,Applied Mathematics.,2703
2705,Statistics.,2705
2799,"Mathematics and Stats, Oth.",2799
2801,"Air Force ROTC, Air Sci & Ops.",2801
2803,"Army ROTC, Military Sci & Ops.",2803
2804,"Navy/Mar ROTC, Naval Sci & Ops",2804
2805,Milit Sci & Operat Studies.,2805
2806,Security Policy and Strategy.,2806
2807,Military Economics and Mgmt.,2807
2899,Milit Sci Ldershp & Op Art Oth,2899
2901,Military Technologies.,2901
2902,Intell Command Ctrl & Info Ops,2902
2903,Military Applied Sciences.,2903
2904,Military Systems & Maint Tech.,2904
2999,"Milit Tech & Applied Sci, Oth.",2999
3000,"Multi/Interdisc Studies, Gen.",3000
3001,Biological and Physical Sci.,3001
3005,Peace Studies & Conflict Resol,3005
3006,Systems Science and Theory.,3006
3008,Mathematics and Computer Sci.,3008
3010,Biopsychology.,3010
3011,Gerontology.,3011
3012,Historic Preservation & Cons.,3012
3013,Medieval and Renaissance Stds.,3013
3014,Museology/Museum Studies.,3014
3015,"Science, Tech & Society.",3015
3016,Accounting & Computer Science,3016
3017,Behavioral Sciences.,3017
3018,Natural Sciences.,3018
3019,Nutrition Sciences.,3019
3020,International/Global Studies.,3020
3021,Holocaust and Related Studies.,3021
3022,Classical and Ancient Studies.,3022
3023,Inter/Multicultural & Div Stds,3023
3024,Neuroscience.,3024
3025,Cognitive Science.,3025
3026,Cultl Std/Critical Theo & Anal,3026
3027,Human Biology.,3027
3028,Dispute Resolution.,3028
3029,Maritime Studies.,3029
3030,Computational Science.,3030
3031,Human Computer Interaction.,3031
3032,Marine Sciences.,3032
3033,Sustainability Studies.,3033
3099,"Multi/Interdisc Studies, Oth.",3099
30AB,Biology and Physical Sciences,300101
30AF,Biopsychology,301001
30AO,Behavioral Sciences,301701
30BE,Marine Sciences,303201
3101,"Parks, Rec & Leisure Studies.",3101
3103,Parks Rec & Leisure Facil Mgmt,3103
3105,Health & Physical Edu/Fit.,3105
3106,Outdoor Education.,3106
3199,"Parks Leisure & Fit Stds, Oth.",3199
31AA,"Parks, Recreation & Leisure",310101
